"","V1","V2","V3"
"309",1,1,"Baseline (EN Mean)"
"310",1,1,"Baseline (EN Mean)"
"311",1,1,"Baseline (EN Mean)"
"312",1,1,"Baseline (EN Mean)"
"313",1,1,"Baseline (EN Mean)"
"314",1,1,"Baseline (EN Mean)"
"315",1,1,"Baseline (EN Mean)"
"316",1,1,"Baseline (EN Mean)"
"317",1,1,"Baseline (EN Mean)"
"318",1,1,"Baseline (EN Mean)"
"319",1,1,"Baseline (EN Mean)"
"320",1,1,"Baseline (EN Mean)"
"321",1,1,"Baseline (EN Mean)"
"322",1,1,"Baseline (EN Mean)"
"323",1,1,"Baseline (EN Mean)"
"324",1,1,"Baseline (EN Mean)"
"325",1,1,"Baseline (EN Mean)"
"326",1,1,"Baseline (EN Mean)"
"327",1,1,"Baseline (EN Mean)"
"328",1,1,"Baseline (EN Mean)"
"329",1,1,"Baseline (EN Mean)"
"330",1,1,"Baseline (EN Mean)"
"331",1,1,"Baseline (EN Mean)"
"332",1,1,"Baseline (EN Mean)"
"333",1,1,"Baseline (EN Mean)"
"334",1,1,"Baseline (EN Mean)"
"335",1,1,"Baseline (EN Mean)"
"336",1,1,"Baseline (EN Mean)"
"337",1,1,"Baseline (EN Mean)"
"338",1,1,"Baseline (EN Mean)"
"339",1,1,"Baseline (EN Mean)"
"340",1,1,"Baseline (EN Mean)"
"341",1,1,"Baseline (EN Mean)"
"342",1,1,"Baseline (EN Mean)"
"343",1,1,"Baseline (EN Mean)"
"344",1,1,"Baseline (EN Mean)"
"345",1,1,"Baseline (EN Mean)"
"346",1,1,"Baseline (EN Mean)"
"347",1,1,"Baseline (EN Mean)"
"348",1,1,"Baseline (EN Mean)"
"349",1,1,"Baseline (EN Mean)"
"350",1,1,"Baseline (EN Mean)"
"351",1,1,"Baseline (EN Mean)"
"352",1,1,"Baseline (EN Mean)"
"353",1,1,"Baseline (EN Mean)"
"354",1,1,"Baseline (EN Mean)"
"355",1,1,"Baseline (EN Mean)"
"356",1,1,"Baseline (EN Mean)"
"357",1,1,"Baseline (EN Mean)"
"358",1,1,"Baseline (EN Mean)"
"359",1,1,"Baseline (EN Mean)"
"360",1,1,"Baseline (EN Mean)"
"361",1,1,"Baseline (EN Mean)"
"362",1,1,"Baseline (EN Mean)"
"363",1,1,"Baseline (EN Mean)"
"364",1,1,"Baseline (EN Mean)"
"365",1,1,"Baseline (EN Mean)"
"366",1,1,"Baseline (EN Mean)"
"367",1,1,"Baseline (EN Mean)"
"368",1,1,"Baseline (EN Mean)"
"369",1,1,"Baseline (EN Mean)"
"370",1,1,"Baseline (EN Mean)"
"371",1,1,"Baseline (EN Mean)"
"372",1,1,"Baseline (EN Mean)"
"373",1,1,"Baseline (EN Mean)"
"374",1,1,"Baseline (EN Mean)"
"375",1,1,"Baseline (EN Mean)"
"376",1,1,"Baseline (EN Mean)"
"377",1,1,"Baseline (EN Mean)"
"378",1,1,"Baseline (EN Mean)"
"379",1,1,"Baseline (EN Mean)"
"380",1,1,"Baseline (EN Mean)"
"381",1,1,"Baseline (EN Mean)"
"382",1,1,"Baseline (EN Mean)"
"383",1,1,"Baseline (EN Mean)"
"384",1,1,"Baseline (EN Mean)"
"385",1,1,"Baseline (EN Mean)"
"386",1,1,"Baseline (EN Mean)"
"387",1,1,"Baseline (EN Mean)"
"388",1,1,"Baseline (EN Mean)"
"389",1,1,"Baseline (EN Mean)"
"390",1,1,"Baseline (EN Mean)"
"391",1,1,"Baseline (EN Mean)"
"392",1,1,"Baseline (EN Mean)"
"393",1,1,"Baseline (EN Mean)"
"394",1,1,"Baseline (EN Mean)"
"395",1,1,"Baseline (EN Mean)"
"396",1,1,"Baseline (EN Mean)"
"397",1,1,"Baseline (EN Mean)"
"398",1,1,"Baseline (EN Mean)"
"399",1,1,"Baseline (EN Mean)"
"400",1,1,"Baseline (EN Mean)"
"401",0.00157548528280852,0.001,"Baseline (RR Max)"
"402",0.00776493783322065,0.00855263157894736,"Baseline (RR Max)"
"403",0.0138578757490206,0.0190526315789474,"Baseline (RR Max)"
"404",0.265080076179466,0.268526315789474,"Baseline (RR Max)"
"405",0.902845659163987,0.9015,"Baseline (RR Max)"
"406",0.990337620578778,0.9905,"Baseline (RR Max)"
"407",0.99040192926045,0.9905,"Baseline (RR Max)"
"408",0.99048231511254,0.9905,"Baseline (RR Max)"
"409",1,1,"Baseline (RR Max)"
"410",1,1,"Baseline (RR Max)"
"411",1,1,"Baseline (RR Max)"
"412",1,1,"Baseline (RR Max)"
"413",1,1,"Baseline (RR Max)"
"414",1,1,"Baseline (RR Max)"
"415",1,1,"Baseline (RR Max)"
"416",1,1,"Baseline (RR Max)"
"417",1,1,"Baseline (RR Max)"
"418",1,1,"Baseline (RR Max)"
"419",1,1,"Baseline (RR Max)"
"420",1,1,"Baseline (RR Max)"
"421",1,1,"Baseline (RR Max)"
"422",1,1,"Baseline (RR Max)"
"423",1,1,"Baseline (RR Max)"
"424",1,1,"Baseline (RR Max)"
"425",1,1,"Baseline (RR Max)"
"426",1,1,"Baseline (RR Max)"
"427",1,1,"Baseline (RR Max)"
"428",1,1,"Baseline (RR Max)"
"429",1,1,"Baseline (RR Max)"
"430",1,1,"Baseline (RR Max)"
"431",1,1,"Baseline (RR Max)"
"432",1,1,"Baseline (RR Max)"
"433",1,1,"Baseline (RR Max)"
"434",1,1,"Baseline (RR Max)"
"435",1,1,"Baseline (RR Max)"
"436",1,1,"Baseline (RR Max)"
"437",1,1,"Baseline (RR Max)"
"438",1,1,"Baseline (RR Max)"
"439",1,1,"Baseline (RR Max)"
"440",1,1,"Baseline (RR Max)"
"441",1,1,"Baseline (RR Max)"
"442",1,1,"Baseline (RR Max)"
"443",1,1,"Baseline (RR Max)"
"444",1,1,"Baseline (RR Max)"
